Locus	Average_support	Maximum_Support	Minimum_support	Number_of_Internal_Edges	Number_of_High_Support_Edges	percentage_of_high_support_edges
L1	63.5152	100	0	198	105	0.53030303
L10	63.6802	100	0	197	102	0.517766497
L100	69.2552	100	0	192	111	0.578125
L102	65.5859	100	0	198	103	0.52020202
L103	67.096	100	0	198	115	0.580808081
L104	65.4091	100	0	198	102	0.515151515
L105	60.0102	100	0	197	94	0.47715736
L107	66.3081	100	0	198	112	0.565656566
L108	70.8485	100	0	198	118	0.595959596
L11	62.2843	100	0	197	101	0.512690355
L110	73.599	100	1	197	120	0.609137056
L111	69.7525	100	0	198	116	0.585858586
L113	72.1212	100	0	198	126	0.636363636
L115	40.601	100	0	198	47	0.237373737
L116	65.5606	100	0	198	112	0.565656566
L118	64.203	100	0	197	104	0.527918782
L119	63.6566	100	0	198	102	0.515151515
L12	69.7121	100	0	198	115	0.580808081
L120	65.599	100	0	197	108	0.54822335
L121	72.8081	100	0	198	127	0.641414141
L122	65.3232	100	0	198	106	0.535353535
L125	69.4798	100	0	198	121	0.611111111
L126	66.0808	100	0	198	110	0.555555556
L127	65.9242	100	0	198	108	0.545454545
L128	55.8636	100	0	198	80	0.404040404
L129	69.5101	100	0	198	115	0.580808081
L130	66.197	100	0	198	112	0.565656566
L131	51.7614	100	0	197	76	0.385786802
L133	69.4467	100	0	197	117	0.593908629
L134	63.5455	100	0	198	98	0.494949495
L135	67.197	100	0	198	116	0.585858586
L136	68.3788	100	0	198	116	0.585858586
L137	70.9141	100	0	198	110	0.555555556
L141	64.5888	100	0	197	105	0.532994924
L142	67.6061	100	0	198	110	0.555555556
L143	67.7056	100	0	197	111	0.563451777
L145	69.0404	100	0	198	122	0.616161616
L146	67.6061	100	0	198	113	0.570707071
L147	66.2374	100	0	198	109	0.550505051
L148	64.6768	100	0	198	99	0.5
L149	77.8182	100	0	198	134	0.676767677
L150	70.7121	100	0	198	122	0.616161616
L151	68.4643	100	0	196	114	0.581632653
L152	34.5714	100	0	196	40	0.204081633
L153	71.1111	100	0	198	123	0.621212121
L154	57.4697	100	0	198	83	0.419191919
L155	65.3131	100	0	198	113	0.570707071
L157	67.9343	100	0	198	106	0.535353535
L158	64.4924	100	0	197	102	0.517766497
L159	59.8477	100	0	197	95	0.482233503
L161	71.0556	100	0	198	126	0.636363636
L162	62.0051	100	0	197	92	0.467005076
L163	44.0462	100	0	195	47	0.241025641
L165	58.6919	100	0	198	90	0.454545455
L169	60.8071	100	0	197	98	0.497461929
L170	59.1465	100	0	198	89	0.449494949
L171	64.5455	100	0	198	102	0.515151515
L174	63.2741	100	0	197	99	0.502538071
L175	65.101	100	0	198	109	0.550505051
L176	70.3737	100	0	198	112	0.565656566
L177	66.9798	100	0	198	106	0.535353535
L178	69.6818	100	0	198	120	0.606060606
L180	63.7172	100	0	198	103	0.52020202
L181	75.7868	100	0	197	131	0.664974619
L182	72.7879	100	0	198	125	0.631313131
L183	66.1919	100	0	198	106	0.535353535
L184	76	100	0	198	131	0.661616162
L186	69.9695	100	0	197	124	0.629441624
L187	68.5303	100	0	198	117	0.590909091
L188	68.2626	100	0	198	115	0.580808081
L189	60.1015	100	0	197	91	0.461928934
L190	67.702	100	0	198	110	0.555555556
